,filename,xmin,xmax,ymin,ymax,Time,Size,Type,Hand_Pixel_Width,Hand_Pixel_Height,Area,guantes,color
1,M_G_Mostrando_Mano-Amarillo_0_double_box2.jpg,934,1113,210,359,M,G,train,179,149,26671,no,mano
2,M_G_Mostrando_Mano-Amarillo_11_double_box1.jpg,1063,1293,206,391,M,G,train,230,185,42550,no,mano
5,M_G_Mostrando_Mano-Amarillo_23_double_box2.jpg,787,935,179,300,M,G,train,148,121,17908,no,mano
7,M_G_Mostrando_Mano-Amarillo_32_double_box2.jpg,859,1046,161,296,M,G,train,187,135,25245,no,mano
9,M_G_Mostrando_Mano-Amarillo_34_double_box2.jpg,861,1063,192,317,M,G,test,202,125,25250,no,mano
10,M_G_Mostrando_Mano-Amarillo_45_single_box.jpg,780,978,191,292,M,G,test,198,101,19998,no,mano
11,M_G_Trabajando_Mano-Amarillo_19_double_box1.jpg,1201,1383,309,512,M,G,train,182,203,36946,no,mano
13,M_G_Trabajando_Mano-Amarillo_30_double_box1.jpg,1083,1211,290,426,M,G,train,128,136,17408,no,mano
16,M_G_Trabajando_Mano-Amarillo_40_double_box2.jpg,1050,1224,175,302,M,G,train,174,127,22098,no,mano
18,M_G_Trabajando_Mano-Amarillo_50_double_box2.jpg,1107,1238,72,341,M,G,train,131,269,35239,no,mano
20,M_G_Trabajando_Mano-Amarillo_60_double_box2.jpg,1254,1383,124,236,M,G,train,129,112,14448,no,mano
21,M_G_Trabajando_Mano-Amarillo_67_double_box1.jpg,1112,1256,156,294,M,G,train,144,138,19872,no,mano
25,M_G_Trabajando_Mano-Amarillo_8_double_box2.jpg,914,1102,111,222,M,G,train,188,111,20868,no,mano
26,M_G_Trabajando_Mano-Amarillo_89_double_box1.jpg,932,1078,211,340,M,G,test,146,129,18834,no,mano
29,M_G_Trabajando_Mano-Amarillo_95_double_box2.jpg,894,1031,235,391,M,G,test,137,156,21372,no,mano
34,M_P_Mostrando_Mano-Amarillo_15_double_box2.jpg,834,877,229,297,M,P,test,43,68,2924,no,mano
36,M_P_Trabajando_Mano-Amarillo_0_double_box2.jpg,816,860,227,265,M,P,train,44,38,1672,no,mano
38,M_P_Trabajando_Mano-Amarillo_10_double_box2.jpg,893,938,267,297,M,P,train,45,30,1350,no,mano
40,M_P_Trabajando_Mano-Amarillo_20_double_box2.jpg,901,937,222,277,M,P,train,36,55,1980,no,mano
42,M_P_Trabajando_Mano-Amarillo_30_double_box2.jpg,899,934,222,259,M,P,train,35,37,1295,no,mano
44,M_P_Trabajando_Mano-Amarillo_40_double_box2.jpg,915,937,246,286,M,P,train,22,40,880,no,mano
46,M_P_Trabajando_Mano-Amarillo_48_double_box2.jpg,907,929,241,280,M,P,test,22,39,858,no,mano
