,filename,xmin,xmax,ymin,ymax,Time,Size,Type,Hand_Pixel_Width,Hand_Pixel_Height,Area,guantes,color
0,M_G_Mostrando_Mano-Amarillo_0_double_box1.jpg,436,662,273,474,M,G,train,226,201,45426,si,Amarillo
3,M_G_Mostrando_Mano-Amarillo_11_double_box2.jpg,304,503,162,351,M,G,train,199,189,37611,si,Amarillo
4,M_G_Mostrando_Mano-Amarillo_23_double_box1.jpg,630,845,145,264,M,G,train,215,119,25585,si,Amarillo
6,M_G_Mostrando_Mano-Amarillo_32_double_box1.jpg,631,879,142,306,M,G,train,248,164,40672,si,Amarillo
8,M_G_Mostrando_Mano-Amarillo_34_double_box1.jpg,654,902,169,353,M,G,test,248,184,45632,si,Amarillo
12,M_G_Trabajando_Mano-Amarillo_19_double_box2.jpg,790,976,204,349,M,G,train,186,145,26970,si,Amarillo
14,M_G_Trabajando_Mano-Amarillo_30_double_box2.jpg,801,1016,135,335,M,G,train,215,200,43000,si,Amarillo
15,M_G_Trabajando_Mano-Amarillo_40_double_box1.jpg,878,1059,179,313,M,G,train,181,134,24254,si,Amarillo
17,M_G_Trabajando_Mano-Amarillo_50_double_box1.jpg,892,1092,192,327,M,G,train,200,135,27000,si,Amarillo
19,M_G_Trabajando_Mano-Amarillo_60_double_box1.jpg,918,1124,193,331,M,G,train,206,138,28428,si,Amarillo
22,M_G_Trabajando_Mano-Amarillo_67_double_box2.jpg,933,1126,173,327,M,G,train,193,154,29722,si,Amarillo
23,M_G_Trabajando_Mano-Amarillo_79_single_box.jpg,944,1170,186,342,M,G,test,226,156,35256,si,Amarillo
24,M_G_Trabajando_Mano-Amarillo_8_double_box1.jpg,1094,1244,116,244,M,G,train,150,128,19200,si,Amarillo
27,M_G_Trabajando_Mano-Amarillo_89_double_box2.jpg,828,964,251,430,M,G,test,136,179,24344,si,Amarillo
28,M_G_Trabajando_Mano-Amarillo_95_double_box1.jpg,806,918,213,404,M,G,test,112,191,21392,si,Amarillo
30,M_P_Mostrando_Mano-Amarillo_0_single_box.jpg,949,1007,233,278,M,P,train,58,45,2610,si,Amarillo
31,M_P_Mostrando_Mano-Amarillo_10_single_box.jpg,950,1005,208,265,M,P,train,55,57,3135,si,Amarillo
32,M_P_Mostrando_Mano-Amarillo_11_single_box.jpg,919,987,240,289,M,P,test,68,49,3332,si,Amarillo
33,M_P_Mostrando_Mano-Amarillo_15_double_box1.jpg,931,984,245,300,M,P,test,53,55,2915,si,Amarillo
35,M_P_Trabajando_Mano-Amarillo_0_double_box1.jpg,861,908,246,279,M,P,train,47,33,1551,si,Amarillo
37,M_P_Trabajando_Mano-Amarillo_10_double_box1.jpg,778,823,236,288,M,P,train,45,52,2340,si,Amarillo
39,M_P_Trabajando_Mano-Amarillo_20_double_box1.jpg,838,901,236,282,M,P,train,63,46,2898,si,Amarillo
41,M_P_Trabajando_Mano-Amarillo_30_double_box1.jpg,845,918,242,281,M,P,train,73,39,2847,si,Amarillo
43,M_P_Trabajando_Mano-Amarillo_40_double_box1.jpg,852,918,236,274,M,P,train,66,38,2508,si,Amarillo
45,M_P_Trabajando_Mano-Amarillo_48_double_box1.jpg,836,899,229,284,M,P,test,63,55,3465,si,Amarillo
47,M_P_Trabajando_Mano-Amarillo_57_double_box1.jpg,820,888,215,274,M,P,test,68,59,4012,si,Amarillo
49,M_P_Trabajando_Mano-Amarillo_66_double_box1.jpg,817,869,234,277,M,P,test,52,43,2236,si,Amarillo
51,N_G_Mostrando_Mano-Amarillo_18_double_box1.jpg,1384,1521,445,621,N,G,train,137,176,24112,si,Amarillo
53,N_G_Mostrando_Mano-Amarillo_27_double_box1.jpg,919,1139,378,625,N,G,train,220,247,54340,si,Amarillo
56,N_G_Mostrando_Mano-Amarillo_36_double_box2.jpg,1072,1292,330,541,N,G,train,220,211,46420,si,Amarillo
58,N_G_Mostrando_Mano-Amarillo_39_double_box2.jpg,1217,1332,300,588,N,G,test,115,288,33120,si,Amarillo
60,N_G_Mostrando_Mano-Amarillo_50_double_box2.jpg,1058,1242,369,538,N,G,test,184,169,31096,si,Amarillo
62,N_G_Mostrando_Mano-Amarillo_54_double_box2.jpg,1058,1242,367,537,N,G,test,184,170,31280,si,Amarillo
63,N_G_Mostrando_Mano-Amarillo_9_double_box1.jpg,1153,1353,336,567,N,G,train,200,231,46200,si,Amarillo
65,N_G_Trabajando_Mano-Amarillo_18_double_box1.jpg,1323,1506,401,658,N,G,train,183,257,47031,si,Amarillo
67,N_G_Trabajando_Mano-Amarillo_27_double_box1.jpg,1086,1348,532,790,N,G,train,262,258,67596,si,Amarillo
70,N_G_Trabajando_Mano-Amarillo_36_double_box2.jpg,1180,1309,265,381,N,G,train,129,116,14964,si,Amarillo
71,N_G_Trabajando_Mano-Amarillo_42_double_box1.jpg,1103,1276,329,472,N,G,train,173,143,24739,si,Amarillo
74,N_G_Trabajando_Mano-Amarillo_48_double_box2.jpg,944,1100,292,536,N,G,test,156,244,38064,si,Amarillo
76,N_G_Trabajando_Mano-Amarillo_57_double_box2.jpg,372,642,428,720,N,G,test,270,292,78840,si,Amarillo
77,N_G_Trabajando_Mano-Amarillo_60_single_box.jpg,794,1017,223,369,N,G,test,223,146,32558,si,Amarillo
78,N_G_Trabajando_Mano-Amarillo_9_double_box1.jpg,792,1075,264,419,N,G,train,283,155,43865,si,Amarillo
80,N_P_Mostrando_Mano-Amarillo_0_double_box1.jpg,1266,1323,62,130,N,P,train,57,68,3876,si,Amarillo
83,N_P_Mostrando_Mano-Amarillo_10_double_box2.jpg,1258,1302,116,158,N,P,train,44,42,1848,si,Amarillo
85,N_P_Mostrando_Mano-Amarillo_108_double_box2.jpg,1048,1093,150,208,N,P,test,45,58,2610,si,Amarillo
87,N_P_Mostrando_Mano-Amarillo_117_double_box2.jpg,1151,1221,112,186,N,P,test,70,74,5180,si,Amarillo
89,N_P_Mostrando_Mano-Amarillo_126_double_box2.jpg,1098,1178,116,189,N,P,test,80,73,5840,si,Amarillo
91,N_P_Mostrando_Mano-Amarillo_133_double_box2.jpg,1125,1215,190,247,N,P,test,90,57,5130,si,Amarillo
93,N_P_Mostrando_Mano-Amarillo_20_double_box2.jpg,1075,1145,28,100,N,P,train,70,72,5040,si,Amarillo
94,N_P_Mostrando_Mano-Amarillo_30_double_box1.jpg,1042,1087,213,264,N,P,train,45,51,2295,si,Amarillo
97,N_P_Mostrando_Mano-Amarillo_50_double_box1.jpg,862,921,138,194,N,P,train,59,56,3304,si,Amarillo
100,N_P_Mostrando_Mano-Amarillo_60_double_box2.jpg,919,982,212,269,N,P,train,63,57,3591,si,Amarillo
102,N_P_Mostrando_Mano-Amarillo_70_double_box2.jpg,1021,1093,255,312,N,P,train,72,57,4104,si,Amarillo
104,N_P_Mostrando_Mano-Amarillo_80_double_box2.jpg,1098,1161,259,319,N,P,train,63,60,3780,si,Amarillo
106,N_P_Mostrando_Mano-Amarillo_90_double_box2.jpg,1047,1099,256,302,N,P,train,52,46,2392,si,Amarillo
108,N_P_Mostrando_Mano-Amarillo_99_double_box2.jpg,1167,1241,270,318,N,P,test,74,48,3552,si,Amarillo
110,N_P_Trabajando_Mano-Amarillo_10_double_box2.jpg,1076,1122,242,285,N,P,train,46,43,1978,si,Amarillo
112,N_P_Trabajando_Mano-Amarillo_20_double_box1.jpg,1025,1075,245,286,N,P,train,50,41,2050,si,Amarillo
114,N_P_Trabajando_Mano-Amarillo_30_double_box1.jpg,1001,1062,243,280,N,P,train,61,37,2257,si,Amarillo
117,N_P_Trabajando_Mano-Amarillo_40_double_box2.jpg,1018,1083,230,289,N,P,train,65,59,3835,si,Amarillo
