,filename,xmin,xmax,ymin,ymax,Time,Size,Type,Hand_Pixel_Width,Hand_Pixel_Height,Area,guantes,color
1,M_G_Mostrando_Mano-Verde_0_double_box2.jpg,1065,1216,127,269,M,G,train,151,142,21442,no,mano
2,M_G_Mostrando_Mano-Verde_11_double_box1.jpg,841,1097,390,627,M,G,train,256,237,60672,no,mano
4,M_G_Mostrando_Mano-Verde_27_double_box1.jpg,794,1011,379,606,M,G,train,217,227,49259,no,mano
7,M_G_Mostrando_Mano-Verde_35_double_box2.jpg,897,1078,401,661,M,G,train,181,260,47060,no,mano
9,M_G_Mostrando_Mano-Verde_48_double_box2.jpg,878,1049,360,497,M,G,train,171,137,23427,no,mano
11,M_G_Mostrando_Mano-Verde_59_double_box2.jpg,1117,1308,261,481,M,G,train,191,220,42020,no,mano
12,M_G_Mostrando_Mano-Verde_68_double_box1.jpg,851,1052,208,335,M,G,train,201,127,25527,no,mano
14,M_G_Mostrando_Mano-Verde_72_single_box.jpg,827,989,116,263,M,G,test,162,147,23814,no,mano
16,M_G_Mostrando_Mano-Verde_83_double_box2.jpg,937,1127,204,345,M,G,test,190,141,26790,no,mano
18,M_G_Mostrando_Mano-Verde_94_double_box2.jpg,1124,1231,226,341,M,G,test,107,115,12305,no,mano
20,M_G_Trabajando_Mano-Verde_19_double_box2.jpg,1148,1255,239,415,M,G,train,107,176,18832,no,mano
22,M_G_Trabajando_Mano-Verde_29_double_box2.jpg,1043,1145,240,385,M,G,train,102,145,14790,no,mano
24,M_G_Trabajando_Mano-Verde_39_double_box2.jpg,995,1174,163,321,M,G,train,179,158,28282,no,mano
25,M_G_Trabajando_Mano-Verde_49_double_box1.jpg,912,1178,156,290,M,G,train,266,134,35644,no,mano
28,M_G_Trabajando_Mano-Verde_59_double_box2.jpg,932,1088,164,286,M,G,train,156,122,19032,no,mano
30,M_G_Trabajando_Mano-Verde_68_double_box2.jpg,1009,1151,161,320,M,G,test,142,159,22578,no,mano
31,M_G_Trabajando_Mano-Verde_79_double_box1.jpg,1045,1190,136,260,M,G,test,145,124,17980,no,mano
33,M_G_Trabajando_Mano-Verde_8_double_box1.jpg,1134,1268,139,287,M,G,train,134,148,19832,no,mano
35,M_G_Trabajando_Mano-Verde_83_single_box.jpg,869,1016,201,314,M,G,test,147,113,16611,no,mano
39,M_P_Mostrando_Mano-Verde_12_double_box2.jpg,975,1025,122,174,M,P,train,50,52,2600,no,mano
41,M_P_Mostrando_Mano-Verde_20_double_box2.jpg,1010,1052,129,166,M,P,train,42,37,1554,no,mano
45,M_P_Trabajando_Mano-Verde_0_double_box2.jpg,836,871,250,280,M,P,train,35,30,1050,no,mano
47,M_P_Trabajando_Mano-Verde_12_double_box2.jpg,881,925,263,297,M,P,train,44,34,1496,no,mano
49,M_P_Trabajando_Mano-Verde_13_double_box2.jpg,855,882,239,265,M,P,test,27,26,702,no,mano
50,M_P_Trabajando_Mano-Verde_17_double_box1.jpg,859,895,209,231,M,P,test,36,22,792,no,mano
52,N_G_Mostrando_Mano-Verde_14_single_box.jpg,1422,1553,467,652,N,G,train,131,185,24235,no,mano
53,N_G_Mostrando_Mano-Verde_22_double_box1.jpg,1031,1216,362,499,N,G,train,185,137,25345,no,mano
55,N_G_Mostrando_Mano-Verde_23_double_box1.jpg,1004,1222,328,506,N,G,test,218,178,38804,no,mano
57,N_G_Mostrando_Mano-Verde_3_double_box1.jpg,1039,1205,227,373,N,G,train,166,146,24236,no,mano
60,N_G_Trabajando_Mano-Verde_18_double_box1.jpg,1017,1151,280,442,N,G,train,134,162,21708,no,mano
62,N_G_Trabajando_Mano-Verde_27_double_box1.jpg,1237,1406,600,803,N,G,train,169,203,34307,no,mano
64,N_G_Trabajando_Mano-Verde_36_double_box1.jpg,669,897,329,542,N,G,train,228,213,48564,no,mano
66,N_G_Trabajando_Mano-Verde_45_single_box.jpg,467,655,464,660,N,G,train,188,196,36848,no,mano
67,N_G_Trabajando_Mano-Verde_48_double_box1.jpg,653,860,522,731,N,G,test,207,209,43263,no,mano
69,N_G_Trabajando_Mano-Verde_57_double_box1.jpg,418,601,433,619,N,G,test,183,186,34038,no,mano
71,N_G_Trabajando_Mano-Verde_66_double_box1.jpg,900,1036,292,393,N,G,test,136,101,13736,no,mano
73,N_G_Trabajando_Mano-Verde_9_single_box.jpg,1328,1552,489,688,N,G,train,224,199,44576,no,mano
74,N_P_Mostrando_Mano-Verde_101_double_box1.jpg,855,936,253,298,N,P,train,81,45,3645,no,mano
77,N_P_Mostrando_Mano-Verde_110_double_box2.jpg,996,1042,276,320,N,P,test,46,44,2024,no,mano
78,N_P_Mostrando_Mano-Verde_120_double_box1.jpg,893,959,163,237,N,P,test,66,74,4884,no,mano
80,N_P_Mostrando_Mano-Verde_130_double_box1.jpg,995,1041,180,230,N,P,test,46,50,2300,no,mano
82,N_P_Mostrando_Mano-Verde_140_double_box1.jpg,986,1029,246,288,N,P,test,43,42,1806,no,mano
85,N_P_Mostrando_Mano-Verde_150_double_box2.jpg,982,1041,273,325,N,P,test,59,52,3068,no,mano
87,N_P_Mostrando_Mano-Verde_18_double_box2.jpg,1152,1213,249,295,N,P,train,61,46,2806,no,mano
88,N_P_Mostrando_Mano-Verde_27_double_box1.jpg,1029,1088,1,67,N,P,train,59,66,3894,no,mano
91,N_P_Mostrando_Mano-Verde_36_double_box2.jpg,994,1046,167,217,N,P,train,52,50,2600,no,mano
92,N_P_Mostrando_Mano-Verde_45_single_box.jpg,988,1032,193,223,N,P,train,44,30,1320,no,mano
93,N_P_Mostrando_Mano-Verde_54_double_box1.jpg,903,972,108,157,N,P,train,69,49,3381,no,mano
95,N_P_Mostrando_Mano-Verde_63_double_box1.jpg,725,786,8,62,N,P,train,61,54,3294,no,mano
97,N_P_Mostrando_Mano-Verde_72_single_box.jpg,793,839,15,59,N,P,train,46,44,2024,no,mano
98,N_P_Mostrando_Mano-Verde_80_double_box1.jpg,863,913,230,275,N,P,train,50,45,2250,no,mano
100,N_P_Mostrando_Mano-Verde_81_double_box1.jpg,869,929,256,300,N,P,train,60,44,2640,no,mano
102,N_P_Mostrando_Mano-Verde_9_double_box1.jpg,1185,1246,46,105,N,P,train,61,59,3599,no,mano
104,N_P_Mostrando_Mano-Verde_91_double_box1.jpg,978,1033,262,309,N,P,train,55,47,2585,no,mano
108,N_P_Trabajando_Mano-Verde_10_double_box2.jpg,1085,1138,252,283,N,P,train,53,31,1643,no,mano
110,N_P_Trabajando_Mano-Verde_30_double_box1.jpg,1046,1105,245,286,N,P,train,59,41,2419,no,mano
113,N_P_Trabajando_Mano-Verde_40_double_box2.jpg,1063,1103,246,285,N,P,train,40,39,1560,no,mano
114,N_P_Trabajando_Mano-Verde_49_double_box1.jpg,1063,1105,252,288,N,P,test,42,36,1512,no,mano
116,N_P_Trabajando_Mano-Verde_58_double_box1.jpg,1072,1132,255,283,N,P,test,60,28,1680,no,mano
118,N_P_Trabajando_Mano-Verde_67_single_box.jpg,1170,1222,251,292,N,P,test,52,41,2132,no,mano
119,T_G_Mostrando_Mano-Verde_0_double_box1.jpg,1106,1318,212,330,T,G,train,212,118,25016,no,mano
122,T_G_Mostrando_Mano-Verde_10_double_box2.jpg,1159,1342,487,700,T,G,train,183,213,38979,no,mano
124,T_G_Mostrando_Mano-Verde_20_double_box2.jpg,1192,1366,368,564,T,G,train,174,196,34104,no,mano
126,T_G_Mostrando_Mano-Verde_30_double_box2.jpg,1031,1204,366,476,T,G,train,173,110,19030,no,mano
127,T_G_Mostrando_Mano-Verde_40_double_box1.jpg,970,1117,244,345,T,G,train,147,101,14847,no,mano
129,T_G_Mostrando_Mano-Verde_41_double_box1.jpg,980,1122,245,346,T,G,test,142,101,14342,no,mano
131,T_G_Mostrando_Mano-Verde_50_double_box1.jpg,1024,1133,271,379,T,G,test,109,108,11772,no,mano
134,T_G_Trabajando_Mano-Verde_0_double_box2.jpg,1189,1390,207,348,T,G,train,201,141,28341,no,mano
135,T_G_Trabajando_Mano-Verde_10_single_box.jpg,558,764,421,585,T,G,train,206,164,33784,no,mano
136,T_G_Trabajando_Mano-Verde_100_single_box.jpg,627,764,147,362,T,G,test,137,215,29455,no,mano
138,T_G_Trabajando_Mano-Verde_22_double_box2.jpg,888,1071,359,546,T,G,train,183,187,34221,no,mano
139,T_G_Trabajando_Mano-Verde_34_double_box1.jpg,935,1078,318,468,T,G,train,143,150,21450,no,mano
142,T_G_Trabajando_Mano-Verde_45_double_box2.jpg,931,1073,372,524,T,G,train,142,152,21584,no,mano
144,T_G_Trabajando_Mano-Verde_57_double_box2.jpg,919,1139,274,409,T,G,train,220,135,29700,no,mano
145,T_G_Trabajando_Mano-Verde_66_double_box1.jpg,951,1122,292,433,T,G,train,171,141,24111,no,mano
147,T_G_Trabajando_Mano-Verde_71_double_box1.jpg,948,1125,287,427,T,G,test,177,140,24780,no,mano
149,T_G_Trabajando_Mano-Verde_81_double_box1.jpg,937,1126,287,434,T,G,test,189,147,27783,no,mano
151,T_G_Trabajando_Mano-Verde_90_single_box.jpg,885,1049,241,414,T,G,test,164,173,28372,no,mano
152,T_P_Mostrando_Mano-Verde_0_single_box.jpg,1294,1362,160,215,T,P,train,68,55,3740,no,mano
153,T_P_Mostrando_Mano-Verde_10_double_box1.jpg,1078,1118,181,235,T,P,train,40,54,2160,no,mano
155,T_P_Mostrando_Mano-Verde_20_double_box1.jpg,1129,1198,248,299,T,P,train,69,51,3519,no,mano
158,T_P_Mostrando_Mano-Verde_40_single_box.jpg,1499,1560,31,98,T,P,train,61,67,4087,no,mano
