,filename,xmin,xmax,ymin,ymax,Time,Size,Type,Hand_Pixel_Width,Hand_Pixel_Height,Area,guantes,color
0,M_G_Mostrando_Manos_0_single_box.jpg,759,942,95,230,M,G,train,183,135,24705,no,mano
1,M_G_Mostrando_Manos_1_single_box.jpg,774,958,96,229,M,G,train,184,133,24472,no,mano
2,M_G_Mostrando_Manos_103_double_box1.jpg,844,1075,378,621,M,G,train,231,243,56133,no,mano
3,M_G_Mostrando_Manos_103_double_box2.jpg,528,766,336,571,M,G,train,238,235,55930,no,mano
4,M_G_Mostrando_Manos_12_double_box1.jpg,828,1079,388,618,M,G,train,251,230,57730,no,mano
5,M_G_Mostrando_Manos_12_double_box2.jpg,512,742,325,563,M,G,train,230,238,54740,no,mano
6,M_G_Mostrando_Manos_124_double_box1.jpg,43,372,86,302,M,G,train,329,216,71064,no,mano
7,M_G_Mostrando_Manos_124_double_box2.jpg,1441,1728,69,226,M,G,train,287,157,45059,no,mano
8,M_G_Mostrando_Manos_133_double_box1.jpg,887,1127,377,615,M,G,train,240,238,57120,no,mano
9,M_G_Mostrando_Manos_133_double_box2.jpg,280,511,286,466,M,G,train,231,180,41580,no,mano
10,M_G_Mostrando_Manos_142_double_box1.jpg,1176,1398,418,578,M,G,train,222,160,35520,no,mano
11,M_G_Mostrando_Manos_142_double_box2.jpg,1452,1597,337,472,M,G,train,145,135,19575,no,mano
12,M_G_Mostrando_Manos_153_double_box1.jpg,730,896,419,601,M,G,train,166,182,30212,no,mano
13,M_G_Mostrando_Manos_153_double_box2.jpg,1222,1392,378,542,M,G,train,170,164,27880,no,mano
14,M_G_Mostrando_Manos_159_double_box1.jpg,1107,1264,337,497,M,G,test,157,160,25120,no,mano
15,M_G_Mostrando_Manos_159_double_box2.jpg,561,740,355,518,M,G,test,179,163,29177,no,mano
16,M_G_Mostrando_Manos_168_double_box1.jpg,531,765,363,570,M,G,test,234,207,48438,no,mano
17,M_G_Mostrando_Manos_168_double_box2.jpg,938,1187,364,532,M,G,test,249,168,41832,no,mano
18,M_G_Mostrando_Manos_177_double_box1.jpg,1143,1444,103,339,M,G,test,301,236,71036,no,mano
