,filename,xmin,xmax,ymin,ymax,Time,Size,Type,Hand_Pixel_Width,Hand_Pixel_Height,Area,guantes,color
0,M_G_Mostrando_Verdes_101_double_box1.jpg,816,1054,225,365,M,G,train,238,140,33320,si,Verde
1,M_G_Mostrando_Verdes_101_double_box2.jpg,443,625,154,297,M,G,train,182,143,26026,si,Verde
2,M_G_Mostrando_Verdes_112_double_box1.jpg,662,883,268,463,M,G,train,221,195,43095,si,Verde
3,M_G_Mostrando_Verdes_112_double_box2.jpg,1006,1211,288,490,M,G,train,205,202,41410,si,Verde
4,M_G_Mostrando_Verdes_123_double_box1.jpg,968,1225,193,440,M,G,train,257,247,63479,si,Verde
5,M_G_Mostrando_Verdes_123_double_box2.jpg,239,478,97,335,M,G,train,239,238,56882,si,Verde
6,M_G_Mostrando_Verdes_134_double_box1.jpg,1346,1524,280,413,M,G,train,178,133,23674,si,Verde
7,M_G_Mostrando_Verdes_134_double_box2.jpg,665,943,202,362,M,G,train,278,160,44480,si,Verde
8,M_G_Mostrando_Verdes_145_double_box1.jpg,1286,1543,143,317,M,G,train,257,174,44718,si,Verde
9,M_G_Mostrando_Verdes_145_double_box2.jpg,322,541,81,263,M,G,train,219,182,39858,si,Verde
10,M_G_Mostrando_Verdes_157_double_box1.jpg,571,768,178,327,M,G,train,197,149,29353,si,Verde
11,M_G_Mostrando_Verdes_157_double_box2.jpg,907,1081,202,328,M,G,train,174,126,21924,si,Verde
12,M_G_Mostrando_Verdes_168_double_box1.jpg,559,713,156,303,M,G,train,154,147,22638,si,Verde
13,M_G_Mostrando_Verdes_168_double_box2.jpg,856,1036,193,348,M,G,train,180,155,27900,si,Verde
14,M_G_Mostrando_Verdes_171_double_box1.jpg,509,646,122,268,M,G,test,137,146,20002,si,Verde
15,M_G_Mostrando_Verdes_171_double_box2.jpg,922,1090,166,325,M,G,test,168,159,26712,si,Verde
16,M_G_Mostrando_Verdes_18_double_box1.jpg,814,1043,143,278,M,G,train,229,135,30915,si,Verde
17,M_G_Mostrando_Verdes_18_double_box2.jpg,674,824,163,278,M,G,train,150,115,17250,si,Verde
18,M_G_Mostrando_Verdes_182_double_box1.jpg,1137,1337,257,392,M,G,test,200,135,27000,si,Verde
19,M_G_Mostrando_Verdes_182_double_box2.jpg,344,532,212,333,M,G,test,188,121,22748,si,Verde
20,M_G_Mostrando_Verdes_193_double_box1.jpg,1014,1258,295,514,M,G,test,244,219,53436,si,Verde
21,M_G_Mostrando_Verdes_193_double_box2.jpg,375,582,245,445,M,G,test,207,200,41400,si,Verde
22,M_G_Mostrando_Verdes_204_double_box1.jpg,769,1027,523,765,M,G,test,258,242,62436,si,Verde
23,M_G_Mostrando_Verdes_204_double_box2.jpg,430,630,479,718,M,G,test,200,239,47800,si,Verde
24,M_G_Mostrando_Verdes_216_double_box1.jpg,1109,1330,167,313,M,G,test,221,146,32266,si,Verde
25,M_G_Mostrando_Verdes_216_double_box2.jpg,92,312,29,211,M,G,test,220,182,40040,si,Verde
26,M_G_Mostrando_Verdes_225_double_box1.jpg,1088,1313,318,527,M,G,test,225,209,47025,si,Verde
27,M_G_Mostrando_Verdes_225_double_box2.jpg,274,482,265,479,M,G,test,208,214,44512,si,Verde
28,M_G_Mostrando_Verdes_234_double_box1.jpg,580,734,270,378,M,G,test,154,108,16632,si,Verde
29,M_G_Mostrando_Verdes_234_double_box2.jpg,806,1017,274,401,M,G,test,211,127,26797,si,Verde
30,M_G_Mostrando_Verdes_242_double_box1.jpg,205,465,448,705,M,G,test,260,257,66820,si,Verde
31,M_G_Mostrando_Verdes_242_double_box2.jpg,768,1022,311,440,M,G,test,254,129,32766,si,Verde
32,M_G_Mostrando_Verdes_27_double_box1.jpg,753,914,191,282,M,G,train,161,91,14651,si,Verde
33,M_G_Mostrando_Verdes_27_double_box2.jpg,879,1020,182,341,M,G,train,141,159,22419,si,Verde
34,M_G_Mostrando_Verdes_36_double_box1.jpg,219,477,445,714,M,G,train,258,269,69402,si,Verde
35,M_G_Mostrando_Verdes_36_double_box2.jpg,887,1110,326,500,M,G,train,223,174,38802,si,Verde
36,M_G_Mostrando_Verdes_45_double_box1.jpg,291,523,487,835,M,G,train,232,348,80736,si,Verde
37,M_G_Mostrando_Verdes_45_double_box2.jpg,443,804,553,890,M,G,train,361,337,121657,si,Verde
38,M_G_Mostrando_Verdes_54_double_box1.jpg,603,806,267,474,M,G,train,203,207,42021,si,Verde
39,M_G_Mostrando_Verdes_54_double_box2.jpg,974,1193,287,491,M,G,train,219,204,44676,si,Verde
40,M_G_Mostrando_Verdes_63_double_box1.jpg,680,969,480,776,M,G,train,289,296,85544,si,Verde
41,M_G_Mostrando_Verdes_63_double_box2.jpg,1202,1435,437,721,M,G,train,233,284,66172,si,Verde
42,M_G_Mostrando_Verdes_72_double_box1.jpg,1090,1302,508,741,M,G,train,212,233,49396,si,Verde
43,M_G_Mostrando_Verdes_72_double_box2.jpg,443,634,484,733,M,G,train,191,249,47559,si,Verde
44,M_G_Mostrando_Verdes_81_double_box1.jpg,503,773,476,687,M,G,train,270,211,56970,si,Verde
45,M_G_Mostrando_Verdes_81_double_box2.jpg,318,496,341,524,M,G,train,178,183,32574,si,Verde
46,M_G_Mostrando_Verdes_9_single_box.jpg,627,827,256,476,M,G,train,200,220,44000,si,Verde
47,M_G_Mostrando_Verdes_90_double_box1.jpg,179,363,136,264,M,G,train,184,128,23552,si,Verde
48,M_G_Mostrando_Verdes_90_double_box2.jpg,1192,1387,271,457,M,G,train,195,186,36270,si,Verde
49,M_G_Trabajando_Verdes_0_double_box1.jpg,210,466,432,717,M,G,train,256,285,72960,si,Verde
50,M_G_Trabajando_Verdes_0_double_box2.jpg,905,1159,337,465,M,G,train,254,128,32512,si,Verde
51,M_G_Trabajando_Verdes_109_double_box1.jpg,943,1168,384,632,M,G,train,225,248,55800,si,Verde
52,M_G_Trabajando_Verdes_109_double_box2.jpg,640,772,294,373,M,G,train,132,79,10428,si,Verde
53,M_G_Trabajando_Verdes_12_double_box1.jpg,395,563,320,610,M,G,train,168,290,48720,si,Verde
54,M_G_Trabajando_Verdes_12_double_box2.jpg,529,831,419,778,M,G,train,302,359,108418,si,Verde
55,M_G_Trabajando_Verdes_120_double_box1.jpg,629,793,289,379,M,G,train,164,90,14760,si,Verde
56,M_G_Trabajando_Verdes_120_double_box2.jpg,1544,1692,261,448,M,G,train,148,187,27676,si,Verde
57,M_G_Trabajando_Verdes_132_double_box1.jpg,1359,1555,404,687,M,G,train,196,283,55468,si,Verde
58,M_G_Trabajando_Verdes_132_double_box2.jpg,1566,1718,324,563,M,G,train,152,239,36328,si,Verde
59,M_G_Trabajando_Verdes_145_double_box1.jpg,556,718,195,285,M,G,train,162,90,14580,si,Verde
60,M_G_Trabajando_Verdes_145_double_box2.jpg,615,894,251,436,M,G,train,279,185,51615,si,Verde
61,M_G_Trabajando_Verdes_156_single_box.jpg,1499,1690,299,509,M,G,train,191,210,40110,si,Verde
62,M_G_Trabajando_Verdes_169_single_box.jpg,996,1320,308,572,M,G,train,324,264,85536,si,Verde
63,M_G_Trabajando_Verdes_178_single_box.jpg,913,1168,213,389,M,G,train,255,176,44880,si,Verde
64,M_G_Trabajando_Verdes_189_double_box1.jpg,729,940,218,382,M,G,train,211,164,34604,si,Verde
65,M_G_Trabajando_Verdes_189_double_box2.jpg,1123,1237,233,349,M,G,train,114,116,13224,si,Verde
66,M_G_Trabajando_Verdes_198_double_box1.jpg,919,1128,144,358,M,G,train,209,214,44726,si,Verde
67,M_G_Trabajando_Verdes_198_double_box2.jpg,616,811,252,431,M,G,train,195,179,34905,si,Verde
68,M_G_Trabajando_Verdes_210_double_box1.jpg,546,696,189,348,M,G,train,150,159,23850,si,Verde
69,M_G_Trabajando_Verdes_210_double_box2.jpg,1149,1273,215,352,M,G,train,124,137,16988,si,Verde
70,M_G_Trabajando_Verdes_221_single_box.jpg,853,1109,269,432,M,G,train,256,163,41728,si,Verde
71,M_G_Trabajando_Verdes_224_single_box.jpg,839,1080,339,502,M,G,test,241,163,39283,si,Verde
72,M_G_Trabajando_Verdes_236_double_box1.jpg,845,959,279,472,M,G,test,114,193,22002,si,Verde
73,M_G_Trabajando_Verdes_236_double_box2.jpg,953,1085,315,472,M,G,test,132,157,20724,si,Verde
74,M_G_Trabajando_Verdes_24_double_box1.jpg,748,931,112,250,M,G,train,183,138,25254,si,Verde
75,M_G_Trabajando_Verdes_24_double_box2.jpg,890,1051,274,395,M,G,train,161,121,19481,si,Verde
76,M_G_Trabajando_Verdes_248_single_box.jpg,962,1266,162,402,M,G,test,304,240,72960,si,Verde
77,M_G_Trabajando_Verdes_258_double_box1.jpg,1083,1287,176,323,M,G,test,204,147,29988,si,Verde
78,M_G_Trabajando_Verdes_258_double_box2.jpg,832,1111,204,350,M,G,test,279,146,40734,si,Verde
79,M_G_Trabajando_Verdes_269_double_box1.jpg,865,1116,184,351,M,G,test,251,167,41917,si,Verde
80,M_G_Trabajando_Verdes_269_double_box2.jpg,1146,1283,200,365,M,G,test,137,165,22605,si,Verde
81,M_G_Trabajando_Verdes_278_double_box1.jpg,880,1108,233,400,M,G,test,228,167,38076,si,Verde
82,M_G_Trabajando_Verdes_278_double_box2.jpg,1134,1275,109,260,M,G,test,141,151,21291,si,Verde
83,M_G_Trabajando_Verdes_289_single_box.jpg,663,868,117,280,M,G,test,205,163,33415,si,Verde
84,M_G_Trabajando_Verdes_298_single_box.jpg,598,809,176,316,M,G,test,211,140,29540,si,Verde
85,M_G_Trabajando_Verdes_300_double_box1.jpg,714,912,191,300,M,G,test,198,109,21582,si,Verde
86,M_G_Trabajando_Verdes_300_double_box2.jpg,683,844,150,222,M,G,test,161,72,11592,si,Verde
87,M_G_Trabajando_Verdes_310_double_box1.jpg,732,901,156,281,M,G,test,169,125,21125,si,Verde
88,M_G_Trabajando_Verdes_310_double_box2.jpg,885,1066,176,276,M,G,test,181,100,18100,si,Verde
89,M_G_Trabajando_Verdes_36_double_box1.jpg,724,973,73,318,M,G,train,249,245,61005,si,Verde
90,M_G_Trabajando_Verdes_36_double_box2.jpg,961,1143,229,362,M,G,train,182,133,24206,si,Verde
91,M_G_Trabajando_Verdes_44_double_box1.jpg,710,931,165,280,M,G,train,221,115,25415,si,Verde
92,M_G_Trabajando_Verdes_44_double_box2.jpg,1179,1320,232,447,M,G,train,141,215,30315,si,Verde
93,M_G_Trabajando_Verdes_53_double_box1.jpg,1192,1320,113,326,M,G,train,128,213,27264,si,Verde
94,M_G_Trabajando_Verdes_53_double_box2.jpg,842,1099,186,297,M,G,train,257,111,28527,si,Verde
95,M_G_Trabajando_Verdes_62_double_box1.jpg,847,1059,83,271,M,G,train,212,188,39856,si,Verde
96,M_G_Trabajando_Verdes_62_double_box2.jpg,744,839,174,319,M,G,train,95,145,13775,si,Verde
97,M_G_Trabajando_Verdes_78_single_box.jpg,614,748,289,441,M,G,train,134,152,20368,si,Verde
98,M_G_Trabajando_Verdes_89_single_box.jpg,412,627,267,435,M,G,train,215,168,36120,si,Verde
99,M_G_Trabajando_Verdes_98_single_box.jpg,420,670,337,474,M,G,train,250,137,34250,si,Verde
100,M_P_Mostrando_Verdes_0_single_box.jpg,813,883,117,178,M,P,train,70,61,4270,si,Verde
101,M_P_Mostrando_Verdes_11_single_box.jpg,1035,1098,104,149,M,P,train,63,45,2835,si,Verde
102,M_P_Mostrando_Verdes_110_double_box1.jpg,1277,1336,232,308,M,P,train,59,76,4484,si,Verde
103,M_P_Mostrando_Verdes_110_double_box2.jpg,1270,1347,99,172,M,P,train,77,73,5621,si,Verde
104,M_P_Mostrando_Verdes_121_double_box1.jpg,948,1020,157,203,M,P,train,72,46,3312,si,Verde
105,M_P_Mostrando_Verdes_121_double_box2.jpg,1152,1212,197,254,M,P,train,60,57,3420,si,Verde
106,M_P_Mostrando_Verdes_133_double_box1.jpg,680,772,86,144,M,P,train,92,58,5336,si,Verde
107,M_P_Mostrando_Verdes_133_double_box2.jpg,830,901,168,235,M,P,train,71,67,4757,si,Verde
108,M_P_Mostrando_Verdes_145_double_box1.jpg,693,772,272,332,M,P,train,79,60,4740,si,Verde
109,M_P_Mostrando_Verdes_145_double_box2.jpg,831,898,273,320,M,P,train,67,47,3149,si,Verde
110,M_P_Mostrando_Verdes_154_double_box1.jpg,841,902,258,314,M,P,train,61,56,3416,si,Verde
111,M_P_Mostrando_Verdes_154_double_box2.jpg,704,785,271,325,M,P,train,81,54,4374,si,Verde
112,M_P_Mostrando_Verdes_163_single_box.jpg,879,926,276,326,M,P,train,47,50,2350,si,Verde
113,M_P_Mostrando_Verdes_172_double_box1.jpg,660,727,83,156,M,P,train,67,73,4891,si,Verde
114,M_P_Mostrando_Verdes_172_double_box2.jpg,964,1027,122,210,M,P,train,63,88,5544,si,Verde
115,M_P_Mostrando_Verdes_182_double_box1.jpg,793,858,294,350,M,P,train,65,56,3640,si,Verde
