,filename,xmin,xmax,ymin,ymax,Time,Size,Type,Hand_Pixel_Width,Hand_Pixel_Height,Area,guantes,color
0,M_G_Mostrando_Amarillos_0_double_box1.jpg,218,461,464,715,M,G,train,243,251,60993,si,Amarillo
1,M_G_Mostrando_Amarillos_0_double_box2.jpg,617,865,432,598,M,G,train,248,166,41168,si,Amarillo
2,M_G_Mostrando_Amarillos_105_double_box1.jpg,875,1169,321,450,M,G,train,294,129,37926,si,Amarillo
3,M_G_Mostrando_Amarillos_105_double_box2.jpg,502,758,145,307,M,G,train,256,162,41472,si,Amarillo
4,M_G_Mostrando_Amarillos_114_double_box1.jpg,916,1151,285,463,M,G,train,235,178,41830,si,Amarillo
5,M_G_Mostrando_Amarillos_114_double_box2.jpg,599,807,260,430,M,G,train,208,170,35360,si,Amarillo
6,M_G_Mostrando_Amarillos_12_double_box1.jpg,336,531,288,494,M,G,train,195,206,40170,si,Amarillo
7,M_G_Mostrando_Amarillos_12_double_box2.jpg,505,757,324,489,M,G,train,252,165,41580,si,Amarillo
8,M_G_Mostrando_Amarillos_123_double_box1.jpg,319,485,38,213,M,G,train,166,175,29050,si,Amarillo
9,M_G_Mostrando_Amarillos_123_double_box2.jpg,1185,1354,130,293,M,G,train,169,163,27547,si,Amarillo
10,M_G_Mostrando_Amarillos_130_double_box1.jpg,962,1213,494,762,M,G,train,251,268,67268,si,Amarillo
11,M_G_Mostrando_Amarillos_130_double_box2.jpg,377,602,463,731,M,G,train,225,268,60300,si,Amarillo
12,M_G_Mostrando_Amarillos_132_double_box1.jpg,398,638,559,845,M,G,test,240,286,68640,si,Amarillo
13,M_G_Mostrando_Amarillos_132_double_box2.jpg,883,1150,611,888,M,G,test,267,277,73959,si,Amarillo
14,M_G_Mostrando_Amarillos_144_double_box1.jpg,1053,1446,180,480,M,G,test,393,300,117900,si,Amarillo
15,M_G_Mostrando_Amarillos_144_double_box2.jpg,3,342,100,378,M,G,test,339,278,94242,si,Amarillo
16,M_G_Mostrando_Amarillos_153_double_box1.jpg,1284,1468,342,534,M,G,test,184,192,35328,si,Amarillo
17,M_G_Mostrando_Amarillos_153_double_box2.jpg,318,487,239,386,M,G,test,169,147,24843,si,Amarillo
18,M_G_Mostrando_Amarillos_164_double_box1.jpg,825,1037,143,319,M,G,test,212,176,37312,si,Amarillo
19,M_G_Mostrando_Amarillos_164_double_box2.jpg,731,884,251,357,M,G,test,153,106,16218,si,Amarillo
20,M_G_Mostrando_Amarillos_175_double_box1.jpg,709,835,182,306,M,G,test,126,124,15624,si,Amarillo
21,M_G_Mostrando_Amarillos_175_double_box2.jpg,782,941,208,347,M,G,test,159,139,22101,si,Amarillo
22,M_G_Mostrando_Amarillos_186_single_box.jpg,407,631,280,483,M,G,test,224,203,45472,si,Amarillo
23,M_G_Mostrando_Amarillos_24_double_box1.jpg,687,996,577,917,M,G,train,309,340,105060,si,Amarillo
24,M_G_Mostrando_Amarillos_24_double_box2.jpg,424,702,529,913,M,G,train,278,384,106752,si,Amarillo
25,M_G_Mostrando_Amarillos_36_double_box1.jpg,1169,1442,135,316,M,G,train,273,181,49413,si,Amarillo
26,M_G_Mostrando_Amarillos_36_double_box2.jpg,302,565,40,235,M,G,train,263,195,51285,si,Amarillo
27,M_G_Mostrando_Amarillos_45_double_box1.jpg,892,1136,332,498,M,G,train,244,166,40504,si,Amarillo
28,M_G_Mostrando_Amarillos_45_double_box2.jpg,1370,1526,321,485,M,G,train,156,164,25584,si,Amarillo
29,M_G_Mostrando_Amarillos_56_double_box1.jpg,50,354,86,258,M,G,train,304,172,52288,si,Amarillo
30,M_G_Mostrando_Amarillos_56_double_box2.jpg,523,879,132,320,M,G,train,356,188,66928,si,Amarillo
31,M_G_Mostrando_Amarillos_65_double_box1.jpg,728,1036,352,591,M,G,train,308,239,73612,si,Amarillo
32,M_G_Mostrando_Amarillos_65_double_box2.jpg,378,566,308,542,M,G,train,188,234,43992,si,Amarillo
33,M_G_Mostrando_Amarillos_74_double_box1.jpg,324,534,269,465,M,G,train,210,196,41160,si,Amarillo
34,M_G_Mostrando_Amarillos_74_double_box2.jpg,997,1277,436,726,M,G,train,280,290,81200,si,Amarillo
35,M_G_Mostrando_Amarillos_85_double_box1.jpg,1198,1439,175,362,M,G,train,241,187,45067,si,Amarillo
36,M_G_Mostrando_Amarillos_85_double_box2.jpg,154,387,49,192,M,G,train,233,143,33319,si,Amarillo
