,filename,xmin,xmax,ymin,ymax,Time,Size,Type,Hand_Pixel_Width,Hand_Pixel_Height,Area,guantes,color
0,M_G_Mostrando_Mano-Amarillo_0_double_box1.jpg,436,662,273,474,M,G,train,226,201,45426,no,Amarillo
1,M_G_Mostrando_Mano-Amarillo_0_double_box2.jpg,934,1113,210,359,M,G,train,179,149,26671,no,Amarillo
2,M_G_Mostrando_Mano-Amarillo_11_double_box1.jpg,1063,1293,206,391,M,G,train,230,185,42550,no,Amarillo
3,M_G_Mostrando_Mano-Amarillo_11_double_box2.jpg,304,503,162,351,M,G,train,199,189,37611,no,Amarillo
4,M_G_Mostrando_Mano-Amarillo_23_double_box1.jpg,630,845,145,264,M,G,train,215,119,25585,no,Amarillo
5,M_G_Mostrando_Mano-Amarillo_23_double_box2.jpg,787,935,179,300,M,G,train,148,121,17908,no,Amarillo
6,M_G_Mostrando_Mano-Amarillo_32_double_box1.jpg,631,879,142,306,M,G,train,248,164,40672,no,Amarillo
7,M_G_Mostrando_Mano-Amarillo_32_double_box2.jpg,859,1046,161,296,M,G,train,187,135,25245,no,Amarillo
8,M_G_Mostrando_Mano-Amarillo_34_double_box1.jpg,654,902,169,353,M,G,test,248,184,45632,no,Amarillo
9,M_G_Mostrando_Mano-Amarillo_34_double_box2.jpg,861,1063,192,317,M,G,test,202,125,25250,no,Amarillo
10,M_G_Mostrando_Mano-Amarillo_45_single_box.jpg,780,978,191,292,M,G,test,198,101,19998,no,Amarillo
11,M_G_Trabajando_Mano-Amarillo_19_double_box1.jpg,1201,1383,309,512,M,G,train,182,203,36946,no,Amarillo
12,M_G_Trabajando_Mano-Amarillo_19_double_box2.jpg,790,976,204,349,M,G,train,186,145,26970,no,Amarillo
13,M_G_Trabajando_Mano-Amarillo_30_double_box1.jpg,1083,1211,290,426,M,G,train,128,136,17408,no,Amarillo
14,M_G_Trabajando_Mano-Amarillo_30_double_box2.jpg,801,1016,135,335,M,G,train,215,200,43000,no,Amarillo
